"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
11,"low",TRUE,0,0.7,0.1,0.1,0.1,0.772087912087912,0.790112455585101,0.190789210789211,0.0371228771228771
7,"low",TRUE,0,0.5,0.1,0.1,0.1,0.633276723276723,0.673467861978431,0.295624375624376,0.0710989010989011
6,"low",TRUE,0,0.45,0.1,0.1,0.1,0.58963036963037,0.640029173201904,0.334865134865135,0.0755044955044955
8,"low",TRUE,0,0.55,0.1,0.1,0.1,0.681848151848152,0.705147509617111,0.268121878121878,0.05002997002997
4,"low",TRUE,0,0.35,0.1,0.1,0.1,0.426993006993007,0.536551904930672,0.388071928071928,0.184935064935065
5,"low",TRUE,0,0.4,0.1,0.1,0.1,0.565454545454545,0.620021185540849,0.341418581418581,0.0931268731268731
10,"low",TRUE,0,0.65,0.1,0.1,0.1,0.742127872127872,0.759848230575814,0.214875124875125,0.042997002997003
9,"low",TRUE,0,0.6,0.1,0.1,0.1,0.725164835164835,0.741486362078894,0.230639360639361,0.0441958041958042
12,"low",TRUE,0,0.75,0.1,0.1,0.1,0.821848151848152,0.828975607629176,0.157832167832168,0.0203196803196803
13,"low",TRUE,0,0.8,0.1,0.1,0.1,0.80995004995005,0.817575606418816,0.163796203796204,0.0262537462537463
15,"low",TRUE,0,0.9,0.1,0.1,0.1,0.836033966033966,0.841984080164102,0.144135864135864,0.0198301698301698
17,"low",TRUE,0,1,0.1,0.1,0.1,0.859320679320679,0.862170317795703,0.125694305694306,0.014985014985015
14,"low",TRUE,0,0.85,0.1,0.1,0.1,0.832617382617383,0.836414663877855,0.145884115884116,0.0214985014985015
18,"low",TRUE,0.15,0.2,0.1,NA,NA,0,0,0.103676323676324,0.896323676323676
16,"low",TRUE,0,0.95,0.1,0.1,0.1,0.838201798201798,0.844790004795079,0.13982017982018,0.021978021978022
21,"low",TRUE,0.15,0.35,0.1,NA,NA,0,0,0.0772327672327672,0.922767232767233
22,"low",TRUE,0.15,0.4,0.1,NA,NA,0,0,0.0831668331668332,0.916833166833167
20,"low",TRUE,0.15,0.3,0.1,NA,NA,0,0,0.10022977022977,0.89977022977023
19,"low",TRUE,0.15,0.25,0.1,NA,NA,0,0,0.107292707292707,0.892707292707293
23,"low",TRUE,0.15,0.45,0.1,NA,NA,0,0,0.071998001998002,0.928001998001998
24,"low",TRUE,0.15,0.5,0.1,NA,NA,0,0,0.101168831168831,0.898831168831169
28,"low",TRUE,0.15,0.7,0.1,NA,NA,0,0,0.118391608391608,0.881608391608392
29,"low",TRUE,0.15,0.75,0.1,NA,NA,0,0,0.0946853146853147,0.905314685314685
27,"low",TRUE,0.15,0.65,0.1,NA,NA,0,0,0.0815284715284715,0.918471528471528
26,"low",TRUE,0.15,0.6,0.1,NA,NA,0,0,0.0921078921078921,0.907892107892108
25,"low",TRUE,0.15,0.55,0.1,NA,NA,0,0,0.0905994005994006,0.909400599400599
32,"low",TRUE,0.15,0.9,0.1,NA,NA,0,0,0.0823076923076923,0.917692307692308
30,"low",TRUE,0.15,0.8,0.1,NA,NA,0,0,0.0950549450549451,0.904945054945055
31,"low",TRUE,0.15,0.85,0.1,NA,NA,0,0,0.0926673326673327,0.907332667332667
33,"low",TRUE,0.15,0.95,0.1,NA,NA,0,0,0.0786113886113886,0.921388611388611
34,"low",TRUE,0.15,1,0.1,NA,NA,0,0,0.0886013986013986,0.911398601398601
35,"low",TRUE,0.3,0.2,0.1,NA,NA,0,0,0.10031968031968,0.89968031968032
36,"low",TRUE,0.3,0.25,0.1,NA,NA,0,0,0.111408591408591,0.888591408591409
38,"low",TRUE,0.3,0.35,0.1,NA,NA,0,0,0.0776423576423576,0.922357642357642
39,"low",TRUE,0.3,0.4,0.1,NA,NA,0,0,0.0670729270729271,0.932927072927073
