"ID","starting","grazing","g","b","m0","g_gr","m0_gr","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
1,"low",TRUE,0,0.2,0.1,0,0.1,NA,NA,0,NA,0.0930546906187625,0.906945309381238
2,"low",TRUE,0,0.225,0.1,0,0.1,NA,NA,0,NA,0.0926594810379242,0.907340518962076
3,"low",TRUE,0,0.25,0.1,0,0.1,NA,NA,0,NA,0.0876750499001996,0.9123249500998
4,"low",TRUE,0,0.275,0.1,0,0.1,0.1,0.1,0.129210379241517,0.411813114748337,0.261121756487026,0.609667864271457
5,"low",TRUE,0,0.3,0.1,0,0.1,0.1,0.1,0.260896606786427,0.456128148336066,0.360596407185629,0.378506986027944
6,"low",TRUE,0,0.325,0.1,0,0.1,0.1,0.1,0.329804391217565,0.490021577540867,0.38433373253493,0.285861876247505
7,"low",TRUE,0,0.35,0.1,0,0.1,0.1,0.1,0.403455489021956,0.524279828052391,0.391497005988024,0.20504750499002
1,"low",FALSE,0,0.2,0.1,0,0.1,0.1,0.1,0,NA,0.0939776447105788,0.906022355289421
2,"low",FALSE,0,0.225,0.1,0,0.1,0.1,0.1,0,NA,0.0895201596806387,0.910479840319361
4,"low",FALSE,0,0.275,0.1,0,0.1,0.1,0.1,0.110054291417166,0.416853853442376,0.234383233532934,0.6555624750499
3,"low",FALSE,0,0.25,0.1,0,0.1,0.1,0.1,0.0397804391217565,0.358969183524892,0.159976846307385,0.800242714570858
8,"low",TRUE,0,0.375,0.1,0,0.1,0.1,0.1,0.465720558882236,0.562272351723783,0.380259481037924,0.15401996007984
5,"low",FALSE,0,0.3,0.1,0,0.1,0.1,0.1,0.241814770459082,0.452590249977813,0.353868263473054,0.404316966067864
9,"low",TRUE,0,0.4,0.1,0,0.1,0.1,0.1,0.511214371257485,0.591323517463263,0.359960079840319,0.128825548902196
6,"low",FALSE,0,0.325,0.1,0,0.1,0.1,0.1,0.3304,0.494574631327373,0.381930538922156,0.287669461077844
10,"low",TRUE,0,0.425,0.1,0,0.1,0.1,0.1,0.560585229540918,0.618246461354716,0.34365748502994,0.0957572854291417
11,"low",TRUE,0,0.45,0.1,0,0.1,0.1,0.1,0.584199600798403,0.641081880854032,0.327290219560878,0.0885101796407186
7,"low",FALSE,0,0.35,0.1,0,0.1,0.1,0.1,0.404728942115768,0.521783647376415,0.396806387225549,0.198464670658683
15,"low",TRUE,0,0.55,0.1,0,0.1,0.1,0.1,0.680203592814371,0.713057996929821,0.266560479041916,0.0532359281437126
14,"low",TRUE,0,0.525,0.1,0,0.1,0.1,0.1,0.665073053892216,0.702613099864961,0.276720159680639,0.0582067864271457
16,"low",TRUE,0,0.575,0.1,0,0.1,0.1,0.1,0.708076646706587,0.734060373700902,0.245806786427146,0.0461165668662675
13,"low",TRUE,0,0.5,0.1,0,0.1,0.1,0.1,0.647397205588822,0.687903129260687,0.288993213572854,0.0636095808383234
17,"low",TRUE,0,0.6,0.1,0,0.1,0.1,0.1,0.72172375249501,0.744495514921675,0.235010778443114,0.0432654690618762
8,"low",FALSE,0,0.375,0.1,0,0.1,0.1,0.1,0.458320159680639,0.558104000043425,0.379021956087824,0.162657884231537
12,"low",TRUE,0,0.475,0.1,0,0.1,0.1,0.1,0.611568063872255,0.6586690327827,0.310682634730539,0.0777493013972056
9,"low",FALSE,0,0.4,0.1,0,0.1,0.1,0.1,0.514090219560878,0.590076591893418,0.36475369261477,0.121156087824351
18,"low",TRUE,0,0.625,0.1,0,0.1,0.1,0.1,0.737873053892216,0.758697311671259,0.222138123752495,0.0399888223552894
15,"low",FALSE,0,0.55,0.1,0,0.1,0.1,0.1,0.685792415169661,0.716060069823581,0.262080638722555,0.0521269461077844
14,"low",FALSE,0,0.525,0.1,0,0.1,0.1,0.1,0.668986826347305,0.702981303735099,0.273717365269461,0.0572958083832335
16,"low",FALSE,0,0.575,0.1,0,0.1,0.1,0.1,0.710538123752495,0.735842423207781,0.243568063872255,0.0458938123752495
10,"low",FALSE,0,0.425,0.1,0,0.1,0.1,0.1,0.545526546906188,0.614070137121261,0.349196806387226,0.105276646706587
11,"low",FALSE,0,0.45,0.1,0,0.1,0.1,0.1,0.60197125748503,0.649885442704423,0.321023552894212,0.0770051896207585
17,"low",FALSE,0,0.6,0.1,0,0.1,0.1,0.1,0.72126626746507,0.744132677333247,0.235163273453094,0.0435704590818363
19,"low",TRUE,0,0.65,0.1,0,0.1,0.1,0.1,0.754087824351297,0.77264916117069,0.210439920159681,0.035472255489022
13,"low",FALSE,0,0.5,0.1,0,0.1,0.1,0.1,0.645001996007984,0.683653871809968,0.291090618762475,0.0639073852295409
18,"low",FALSE,0,0.625,0.1,0,0.1,0.1,0.1,0.736381636726547,0.757487681552801,0.223102594810379,0.0405157684630739
20,"low",TRUE,0,0.675,0.1,0,0.1,0.1,0.1,0.768249900199601,0.78437646950353,0.199242315369261,0.0325077844311377
12,"low",FALSE,0,0.475,0.1,0,0.1,0.1,0.1,0.614110179640719,0.663394822690846,0.309366067864271,0.07652375249501
22,"low",TRUE,0,0.725,0.1,0,0.1,0.1,0.1,0.788169261477046,0.801163783786763,0.183627145708583,0.0282035928143713
21,"low",TRUE,0,0.7,0.1,0,0.1,0.1,0.1,0.778027145708583,0.792136370175453,0.191317365269461,0.0306554890219561
24,"low",TRUE,0,0.775,0.1,0,0.1,0.1,0.1,0.80414131736527,0.815702247669849,0.17035369261477,0.0255049900199601
23,"low",TRUE,0,0.75,0.1,0,0.1,0.1,0.1,0.79205748502994,0.805005511180476,0.179413972055888,0.0285285429141717
25,"low",TRUE,0,0.8,0.1,0,0.1,0.1,0.1,0.81498123752495,0.82431665881103,0.161431536926148,0.0235872255489022
26,"low",TRUE,0,0.825,0.1,0,0.1,0.1,0.1,0.815638323353293,0.825713362740704,0.160366467065868,0.0239952095808383
19,"low",FALSE,0,0.65,0.1,0,0.1,0.1,0.1,0.748328143712575,0.767929918606655,0.21505628742515,0.0366155688622754
27,"low",TRUE,0,0.85,0.1,0,0.1,0.1,0.1,0.823338922155689,0.832665448082967,0.154011976047904,0.0226491017964072
28,"low",TRUE,0,0.875,0.1,0,0.1,0.1,0.1,0.833738922155689,0.841361414511794,0.144878243512974,0.0213828343313373
20,"low",FALSE,0,0.675,0.1,0,0.1,0.1,0.1,0.765310179640719,0.781848531299877,0.201125748502994,0.0335640718562874
29,"low",TRUE,0,0.9,0.1,0,0.1,0.1,0.1,0.838139720558882,0.845845650601332,0.141267864271457,0.0205924151696607
