"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
7,"low",TRUE,0.01,0.7,0.1,NA,NA,0,0,0.0910890219560878,0.908910978043912
11,"low",TRUE,0.02,0.7,0.1,NA,NA,0,0,0.0911169660678643,0.908883033932136
8,"low",TRUE,0.01,0.95,0.1,NA,NA,0,0,0.0879225548902196,0.91207744510978
6,"low",TRUE,0.01,0.45,0.1,NA,NA,0,0,0.08775249500998,0.91224750499002
10,"low",TRUE,0.02,0.45,0.1,NA,NA,0,0,0.0904550898203593,0.909544910179641
5,"low",TRUE,0.01,0.2,0.1,NA,NA,0,0,0.0912702594810379,0.908729740518962
9,"low",TRUE,0.02,0.2,0.1,NA,NA,0,0,0.0894483033932136,0.910551696606786
1,"low",TRUE,0,0.2,0.1,NA,NA,0,0,0.0930546906187625,0.906945309381238
4,"low",TRUE,0,0.95,0.1,0.1,0.1,0.84875369261477,0.855527395406925,0.132784830339321,0.0184614770459082
3,"low",TRUE,0,0.7,0.1,0.1,0.1,0.776223552894212,0.791051780588413,0.192518163672655,0.0312582834331337
12,"low",TRUE,0.02,0.95,0.1,NA,NA,0,0,0.0904574850299401,0.90954251497006
16,"low",TRUE,0.03,0.95,0.1,NA,NA,0,0,0.0928343313373254,0.907165668662675
13,"low",TRUE,0.03,0.2,0.1,NA,NA,0,0,0.0936159680638722,0.906384031936128
14,"low",TRUE,0.03,0.45,0.1,NA,NA,0,0,0.0896926147704591,0.910307385229541
15,"low",TRUE,0.03,0.7,0.1,NA,NA,0,0,0.0888526946107784,0.911147305389222
19,"low",TRUE,0.04,0.7,0.1,NA,NA,0,0,0.0885828343313373,0.911417165668663
18,"low",TRUE,0.04,0.45,0.1,NA,NA,0,0,0.0897516966067864,0.910248303393214
17,"low",TRUE,0.04,0.2,0.1,NA,NA,0,0,0.0926387225548902,0.90736127744511
2,"low",TRUE,0,0.45,0.1,0.1,0.1,0.586184431137725,0.63702649050787,0.330480638722555,0.0833349301397206
20,"low",TRUE,0.04,0.95,0.1,NA,NA,0,0,0.0899944111776447,0.910005588822355
21,"low",TRUE,0.05,0.2,0.1,NA,NA,0,0,0.0896830339321357,0.910316966067864
22,"low",TRUE,0.05,0.45,0.1,NA,NA,0,0,0.0921804391217565,0.907819560878244
24,"low",TRUE,0.05,0.95,0.1,NA,NA,0,0,0.0901389221556886,0.909861077844311
23,"low",TRUE,0.05,0.7,0.1,NA,NA,0,0,0.0910658682634731,0.908934131736527
25,"high",TRUE,0,0.2,0.1,NA,NA,0,0,0.0893620758483034,0.910637924151697
29,"high",TRUE,0.01,0.2,0.1,NA,NA,0,0,0.0910794411177645,0.908920558882236
