"ID","starting","grazing","environmt","mort_int","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
3,"high",0,0.4,0,0,NA,1,1,1,1,0,0
1,"high",0,0.2,0,0,0,0.9972,0.994761238761239,0.997192137986362,0.994733635379879,0.00251468531468531,0.000285314685314685
6,"high",0,0.7,0,0,NA,1,1,1,1,0,0
10,"high",0.1,0.2,0,0.00423903551445493,0.0298693928787804,0.719456143856144,0.994269330669331,0.909568642349415,0.994236265004883,0.135753846153846,0.14479000999001
8,"high",0,0.9,0,0,NA,1,1,1,1,0,0
12,"high",0.1,0.4,0,0,NA,1,1,1,1,0,0
7,"high",0,0.8,0,0,NA,1,1,1,1,0,0
11,"high",0.1,0.3,0,0,NA,1,1,1,1,0,0
20,"high",0.2,0.3,0,0,NA,1,1,1,1,0,0
5,"high",0,0.6,0,0,NA,1,1,1,1,0,0
23,"high",0.2,0.6,0,0,NA,1,1,1,1,0,0
17,"high",0.1,0.9,0,0,NA,1,1,1,1,0,0
9,"high",0,1,0,0,NA,1,1,1,1,0,0
15,"high",0.1,0.7,0,0,NA,1,1,1,1,0,0
22,"high",0.2,0.5,0,0,NA,1,1,1,1,0,0
14,"high",0.1,0.6,0,0,NA,1,1,1,1,0,0
4,"high",0,0.5,0,0,NA,1,1,1,1,0,0
18,"high",0.1,1,0,0,NA,1,1,1,1,0,0
21,"high",0.2,0.4,0,0,NA,1,1,1,1,0,0
19,"high",0.2,0.2,0,0.0180915774744905,0.0645301203251011,0.406380819180819,0.993597202797203,0.809206863552768,0.994159671732812,0.215373826173826,0.378245354645355
16,"high",0.1,0.8,0,0,NA,1,1,1,1,0,0
2,"high",0,0.3,0,0,NA,1,1,1,1,0,0
13,"high",0.1,0.5,0,0,NA,1,1,1,1,0,0
24,"high",0.2,0.7,0,0,NA,1,1,1,1,0,0
26,"high",0.2,0.9,0,0,NA,1,1,1,1,0,0
25,"high",0.2,0.8,0,0,NA,1,1,1,1,0,0
27,"high",0.2,1,0,0,NA,1,1,1,1,0,0
28,"high",0.3,0.2,0,0.0444967797677737,0.0968156023382687,0.0264423576423576,0.994633366633367,0.671560979198034,0.994604331669373,0.109593206793207,0.863964435564436
30,"high",0.3,0.4,0,0,NA,1,1,1,1,0,0
