"global","stock","m","g","b","d","c_","del","r","f","rho_plus","vul","eq"
"global","stock","m","g","b","d","c_","del","r","f","rho","vul","equlbr"
TRUE,FALSE,0.05,0,0.2,0.1,0.2,0.1,0.01,0.9,0.0021,NA,0.000956094243187495
TRUE,FALSE,0.05,0,0.2025,0.1,0.2,0.1,0.01,0.9,0.001,NA,0.000395170437958307
TRUE,FALSE,0.05,0,0.205,0.1,0.2,0.1,0.01,0.9,0.0041,NA,0.00158960479876681
TRUE,FALSE,0.05,0,0.2075,0.1,0.2,0.1,0.01,0.9,2e-04,NA,0.000220813901489722
TRUE,FALSE,0.05,0,0.21,0.1,0.2,0.1,0.01,0.9,0,NA,7.09949669611976e-05
TRUE,FALSE,0.05,0,0.2125,0.1,0.2,0.1,0.01,0.9,0.0011,NA,0.000268620071762015
TRUE,FALSE,0.05,0,0.215,0.1,0.2,0.1,0.01,0.9,0,NA,4.68041666935167e-05
TRUE,FALSE,0.05,0,0.2175,0.1,0.2,0.1,0.01,0.9,5e-04,NA,0.000196284910803484
TRUE,FALSE,0.05,0,0.22,0.1,0.2,0.1,0.01,0.9,0.0018,NA,0.000873129430815497
TRUE,FALSE,0.05,0,0.2225,0.1,0.2,0.1,0.01,0.9,0.002,NA,0.000312077376394838
TRUE,FALSE,0.05,0,0.225,0.1,0.2,0.1,0.01,0.9,0.0025,NA,0.00120312364834162
TRUE,FALSE,0.05,0,0.2275,0.1,0.2,0.1,0.01,0.9,1e-04,NA,0.000253195231925295
TRUE,FALSE,0.05,0,0.23,0.1,0.2,0.1,0.01,0.9,0,NA,8.09617135410809e-05
TRUE,FALSE,0.05,0,0.2325,0.1,0.2,0.1,0.01,0.9,5e-04,NA,3.72790554193848e-05
TRUE,FALSE,0.05,0,0.235,0.1,0.2,0.1,0.01,0.9,0,NA,0.000174309651314366
TRUE,FALSE,0.05,0,0.2375,0.1,0.2,0.1,0.01,0.9,6e-04,NA,0.000314058548153651
TRUE,FALSE,0.05,0,0.24,0.1,0.2,0.1,0.01,0.9,0.0026,NA,0.000497897698292373
TRUE,FALSE,0.05,0,0.2425,0.1,0.2,0.1,0.01,0.9,0,NA,5.44352744441346e-05
TRUE,FALSE,0.05,0,0.245,0.1,0.2,0.1,0.01,0.9,0.0014,NA,0.000228824468870874
TRUE,FALSE,0.05,0,0.2475,0.1,0.2,0.1,0.01,0.9,0,NA,8.7485388054225e-05
TRUE,FALSE,0.05,0,0.25,0.1,0.2,0.1,0.01,0.9,0,NA,0.000152620954080668
TRUE,FALSE,0.05,0,0.2525,0.1,0.2,0.1,0.01,0.9,4e-04,NA,0.000203631980207962
TRUE,FALSE,0.05,0,0.255,0.1,0.2,0.1,0.01,0.9,0.0045,NA,0.000535327915190887
TRUE,FALSE,0.05,0,0.2575,0.1,0.2,0.1,0.01,0.9,5e-04,NA,0.000341245877716546
TRUE,FALSE,0.05,0,0.26,0.1,0.2,0.1,0.01,0.9,9e-04,NA,0.000176492080734244
TRUE,FALSE,0.05,0,0.2625,0.1,0.2,0.1,0.01,0.9,0,NA,5.94926516405703e-05
TRUE,FALSE,0.05,0,0.265,0.1,0.2,0.1,0.01,0.9,0.0019,NA,0.000248620983505935
TRUE,FALSE,0.05,0,0.2675,0.1,0.2,0.1,0.01,0.9,4e-04,NA,4.33183443877631e-05
TRUE,FALSE,0.05,0,0.27,0.1,0.2,0.1,0.01,0.9,0.001,NA,0.000288439877332151
TRUE,FALSE,0.05,0,0.2725,0.1,0.2,0.1,0.01,0.9,0,NA,0.000169266856162459
TRUE,FALSE,0.05,0,0.275,0.1,0.2,0.1,0.01,0.9,0.0011,NA,0.000511974868820181
TRUE,FALSE,0.05,0,0.2775,0.1,0.2,0.1,0.01,0.9,0,NA,0.00013601053440435
TRUE,FALSE,0.05,0,0.28,0.1,0.2,0.1,0.01,0.9,0.0019,NA,0.000265525838008668
TRUE,FALSE,0.05,0,0.2825,0.1,0.2,0.1,0.01,0.9,0.0019,NA,4.61471624742435e-05
TRUE,FALSE,0.05,0,0.285,0.1,0.2,0.1,0.01,0.9,0,NA,6.48972997758847e-05
TRUE,FALSE,0.05,0,0.2875,0.1,0.2,0.1,0.01,0.9,7e-04,NA,0.000608786075121402
TRUE,FALSE,0.05,0,0.29,0.1,0.2,0.1,0.01,0.9,0.0013,NA,0.000613366064274938
TRUE,FALSE,0.05,0,0.2925,0.1,0.2,0.1,0.01,0.9,0,NA,2.83092029665356e-05
TRUE,FALSE,0.05,0,0.295,0.1,0.2,0.1,0.01,0.9,0,NA,0.000103800410877297
TRUE,FALSE,0.05,0,0.2975,0.1,0.2,0.1,0.01,0.9,0.0017,NA,0.000122673212854988
TRUE,FALSE,0.05,0,0.3,0.1,0.2,0.1,0.01,0.9,0.0014,NA,8.75114527875675e-05
TRUE,FALSE,0.05,0,0.3025,0.1,0.2,0.1,0.01,0.9,0,NA,0.000145852421312612
TRUE,FALSE,0.05,0,0.305,0.1,0.2,0.1,0.01,0.9,0,NA,0.000184746400329309
TRUE,FALSE,0.05,0,0.3075,0.1,0.2,0.1,0.01,0.9,4e-04,NA,8.75114527875675e-05
TRUE,FALSE,0.05,0,0.31,0.1,0.2,0.1,0.01,0.9,8e-04,NA,0.000320875326887747
TRUE,FALSE,0.05,0,0.3125,0.1,0.2,0.1,0.01,0.9,0,NA,2.99259535910201e-05
TRUE,FALSE,0.05,0,0.315,0.1,0.2,0.1,0.01,0.9,0,NA,0.0001496297679551
TRUE,FALSE,0.05,0,0.3175,0.1,0.2,0.1,0.01,0.9,0,NA,0.000109728496500407
TRUE,FALSE,0.05,0,0.32,0.1,0.2,0.1,0.01,0.9,6e-04,NA,0.000129679132227754
TRUE,FALSE,0.05,0,0.3225,0.1,0.2,0.1,0.01,0.9,0,NA,7.13841210029478e-05
TRUE,FALSE,0.05,0,0.325,0.1,0.2,0.1,0.01,0.9,0.0043,NA,0.00131550737276861
TRUE,FALSE,0.05,0,0.3275,0.1,0.2,0.1,0.01,0.9,0.0012,NA,9.17795841466472e-05
TRUE,FALSE,0.05,0,0.33,0.1,0.2,0.1,0.01,0.9,0,NA,7.13841210029478e-05
TRUE,FALSE,0.05,0,0.3325,0.1,0.2,0.1,0.01,0.9,0,NA,7.28740744770968e-05
TRUE,FALSE,0.05,0,0.335,0.1,0.2,0.1,0.01,0.9,0,NA,7.28740744770968e-05
TRUE,FALSE,0.05,0,0.3375,0.1,0.2,0.1,0.01,0.9,6e-04,NA,0.000135337566886037
TRUE,FALSE,0.05,0,0.34,0.1,0.2,0.1,0.01,0.9,5e-04,NA,9.56675464833792e-05
TRUE,FALSE,0.05,0,0.3425,0.1,0.2,0.1,0.01,0.9,0,NA,3.18891821611264e-05
TRUE,FALSE,0.05,0,0.345,0.1,0.2,0.1,0.01,0.9,0,NA,0.000159445910805632
TRUE,FALSE,0.05,0,0.3475,0.1,0.2,0.1,0.01,0.9,0.0042,NA,0.00035078100377239
TRUE,FALSE,0.05,0,0.35,0.1,0.2,0.1,0.01,0.9,0,NA,0.000116927001257463
TRUE,FALSE,0.05,0,0.3525,0.1,0.2,0.1,0.01,0.9,0.0052,NA,0.000400175809259535
TRUE,FALSE,0.05,0,0.355,0.1,0.2,0.1,0.01,0.9,0.001,NA,0.000140602311361458
TRUE,FALSE,0.05,0,0.3575,0.1,0.2,0.1,0.01,0.9,7e-04,NA,0.000183864561011138
TRUE,FALSE,0.05,0,0.36,0.1,0.2,0.1,0.01,0.9,0,NA,7.5708936886939e-05
TRUE,FALSE,0.05,0,0.3625,0.1,0.2,0.1,0.01,0.9,0.001,NA,9.893858783175e-05
TRUE,FALSE,0.05,0,0.365,0.1,0.2,0.1,0.01,0.9,0.0035,NA,0.00036277482204975
TRUE,FALSE,0.05,0,0.3675,0.1,0.2,0.1,0.01,0.9,0,NA,0.00020887035208925
TRUE,FALSE,0.05,0,0.37,0.1,0.2,0.1,0.01,0.9,0,NA,0.00020887035208925
TRUE,FALSE,0.05,0,0.3725,0.1,0.2,0.1,0.01,0.9,0,NA,7.81023842838854e-05
TRUE,FALSE,0.05,0,0.375,0.1,0.2,0.1,0.01,0.9,0.0032,NA,0.000546716689987197
TRUE,FALSE,0.05,0,0.3775,0.1,0.2,0.1,0.01,0.9,0.0013,NA,0.000100417351222138
TRUE,FALSE,0.05,0,0.38,0.1,0.2,0.1,0.01,0.9,0.0026,NA,0.000145047285098644
TRUE,FALSE,0.05,0,0.3825,0.1,0.2,0.1,0.01,0.9,5e-04,NA,0.00019240535803972
TRUE,FALSE,0.05,0,0.385,0.1,0.2,0.1,0.01,0.9,0,NA,7.92257356634142e-05
TRUE,FALSE,0.05,0,0.3875,0.1,0.2,0.1,0.01,0.9,4e-04,NA,0.000101861660138675
TRUE,FALSE,0.05,0,0.39,0.1,0.2,0.1,0.01,0.9,0,NA,0.000124497584613937
TRUE,FALSE,0.05,0,0.3925,0.1,0.2,0.1,0.01,0.9,0.001,NA,0.000378374242753988
TRUE,FALSE,0.05,0,0.395,0.1,0.2,0.1,0.01,0.9,0,NA,0.000126124747584663
TRUE,FALSE,0.05,0,0.3975,0.1,0.2,0.1,0.01,0.9,4e-04,NA,0.000194920064449024
TRUE,FALSE,0.05,0,0.4,0.1,0.2,0.1,0.01,0.9,3e-04,NA,5.80817659100016e-05
TRUE,FALSE,0.05,0,0.4025,0.1,0.2,0.1,0.01,0.9,0.002,NA,0.000104547178638003
TRUE,FALSE,0.05,0,0.405,0.1,0.2,0.1,0.01,0.9,0,NA,8.13144722740022e-05
TRUE,FALSE,0.05,0,0.4075,0.1,0.2,0.1,0.01,0.9,0,NA,8.13144722740022e-05
TRUE,FALSE,0.05,0,0.41,0.1,0.2,0.1,0.01,0.9,3e-04,NA,5.86505577912738e-05
TRUE,FALSE,0.05,0,0.4125,0.1,0.2,0.1,0.01,0.9,0.002,NA,5.86505577912738e-05
TRUE,FALSE,0.05,0,0.415,0.1,0.2,0.1,0.01,0.9,0.0026,NA,0.000199411896490331
TRUE,FALSE,0.05,0,0.4175,0.1,0.2,0.1,0.01,0.9,0,NA,3.51903346747643e-05
TRUE,FALSE,0.05,0,0.42,0.1,0.2,0.1,0.01,0.9,0.006,NA,0.000391611989186635
