"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
2,"low",TRUE,0,0.24,0.1,NA,NA,0,0,0.0897556886227545,0.910244311377245
1,"low",TRUE,0,0.2,0.1,NA,NA,0,0,0.0931568862275449,0.906843113772455
3,"low",TRUE,0,0.28,0.1,NA,NA,0,0,0.0898217564870259,0.910178243512974
4,"low",TRUE,0,0.32,0.1,0.1,0.1,0.318091816367265,0.482232739644589,0.38559620758483,0.296311976047904
23,"low",TRUE,0,0.84,0.1,0.1,0.1,0.820982435129741,0.830460647432125,0.155400798403194,0.0236167664670659
21,"low",TRUE,0,0.76,0.1,0.1,0.1,0.798057085828343,0.810309480381639,0.174764870259481,0.0271780439121756
22,"low",TRUE,0,0.8,0.1,0.1,0.1,0.810717964071856,0.821456430912883,0.16430618762475,0.0249758483033932
20,"low",TRUE,0,0.72,0.1,0.1,0.1,0.782107385229541,0.796275852780783,0.187461876247505,0.0304307385229541
19,"low",TRUE,0,0.68,0.1,0.1,0.1,0.764092814371258,0.780833231062499,0.202095608782435,0.0338115768463074
24,"low",TRUE,0,0.88,0.1,0.1,0.1,0.832668662674651,0.841025911357643,0.145981037924152,0.0213502994011976
17,"low",TRUE,0,0.6,0.1,0.1,0.1,0.724256487025948,0.747211725037233,0.233711377245509,0.0420321357285429
25,"low",TRUE,0,0.92,0.1,0.1,0.1,0.843044910179641,0.850167675572782,0.137105988023952,0.0198491017964072
26,"low",TRUE,0,0.96,0.1,0.1,0.1,0.84983872255489,0.856355634029521,0.131414371257485,0.0187469061876247
18,"low",TRUE,0,0.64,0.1,0.1,0.1,0.742951497005988,0.76322824528043,0.218477245508982,0.0385712574850299
16,"low",TRUE,0,0.6,0.1,0.1,0.1,0.722398403193613,0.746612364019392,0.233755489021956,0.0438461077844311
28,"low",TRUE,0.005,0.2,0.1,NA,NA,0,0,0.0927998003992016,0.907200199600798
29,"low",TRUE,0.005,0.24,0.1,NA,NA,0,0,0.0919447105788423,0.908055289421158
15,"low",TRUE,0,0.58,0.1,0.1,0.1,0.709106786427146,0.735848943255102,0.244290219560878,0.046602994011976
30,"low",TRUE,0.005,0.28,0.1,NA,NA,0,0,0.0910101796407186,0.908989820359281
5,"low",TRUE,0,0.36,0.1,0.1,0.1,0.43594750499002,0.543842742063233,0.388618363273453,0.175434131736527
31,"low",TRUE,0.005,0.32,0.1,NA,NA,0,0,0.0915528942115768,0.908447105788423
32,"low",TRUE,0.005,0.36,0.1,NA,NA,0,0,0.0911313373253493,0.908868662674651
34,"low",TRUE,0.005,0.42,0.1,NA,NA,0,0,0.0892219560878244,0.910778043912176
14,"low",TRUE,0,0.56,0.1,0.1,0.1,0.695938522954092,0.723825857339301,0.254920359281437,0.0491411177644711
35,"low",TRUE,0.005,0.44,0.1,NA,NA,0,0,0.093889620758483,0.906110379241517
33,"low",TRUE,0.005,0.4,0.1,NA,NA,0,0,0.092559880239521,0.907440119760479
37,"low",TRUE,0.005,0.48,0.1,NA,NA,0,0,0.0900724550898204,0.90992754491018
36,"low",TRUE,0.005,0.46,0.1,NA,NA,0,0,0.0894860279441118,0.910513972055888
38,"low",TRUE,0.005,0.5,0.1,NA,NA,0,0,0.092262874251497,0.907737125748503
41,"low",TRUE,0.005,0.56,0.1,NA,NA,0,0,0.0924534930139721,0.907546506986028
40,"low",TRUE,0.005,0.54,0.1,NA,NA,0,0,0.0900650698602794,0.909934930139721
39,"low",TRUE,0.005,0.52,0.1,NA,NA,0,0,0.0917926147704591,0.908207385229541
27,"low",TRUE,0,1,0.1,0.1,0.1,0.856841516966068,0.862691605542992,0.125891616766467,0.0172668662674651
42,"low",TRUE,0.005,0.58,0.1,NA,NA,0,0,0.0931263473053892,0.906873652694611
43,"low",TRUE,0.005,0.6,0.1,NA,NA,0,0,0.0933592814371258,0.906640718562874
44,"low",TRUE,0.005,0.6,0.1,NA,NA,0,0,0.0894826347305389,0.910517365269461
13,"low",TRUE,0,0.54,0.1,0.1,0.1,0.681297804391218,0.71252717295994,0.265166067864271,0.053536127744511
45,"low",TRUE,0.005,0.64,0.1,NA,NA,0,0,0.0892616766467066,0.910738323353293
46,"low",TRUE,0.005,0.68,0.1,NA,NA,0,0,0.0891952095808383,0.910804790419162
48,"low",TRUE,0.005,0.76,0.1,NA,NA,0,0,0.0923748502994012,0.907625149700599
