"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
16,"low",TRUE,TRUE,0.033,0.5,0.05,NA,NA,0,0,0.0895369261477046,0.910463073852295
3,"low",TRUE,TRUE,0.033,0.24,0.05,NA,NA,0,0,0.0898217564870259,0.910178243512974
8,"low",TRUE,TRUE,0.033,0.34,0.05,NA,NA,0,0,0.0924622754491018,0.907537724550898
20,"low",TRUE,TRUE,0.033,0.58,0.05,NA,NA,0,0,0.0909395209580838,0.909060479041916
12,"low",TRUE,TRUE,0.033,0.42,0.05,NA,NA,0,0,0.0896978043912176,0.910302195608782
4,"low",TRUE,TRUE,0.033,0.26,0.05,NA,NA,0,0,0.0907321357285429,0.909267864271457
18,"low",TRUE,TRUE,0.033,0.54,0.05,NA,NA,0,0,0.0901365269461078,0.909863473053892
2,"low",TRUE,TRUE,0.033,0.22,0.05,NA,NA,0,0,0.0897556886227545,0.910244311377245
6,"low",TRUE,TRUE,0.033,0.3,0.05,NA,NA,0,0,0.0916027944111776,0.908397205588822
22,"low",TRUE,TRUE,0.033,0.62,0.05,NA,NA,0,0,0.0899403193612774,0.910059680638723
23,"low",TRUE,TRUE,0.033,0.64,0.05,NA,NA,0,0,0.0887874251497006,0.911212574850299
11,"low",TRUE,TRUE,0.033,0.4,0.05,NA,NA,0,0,0.0915706586826347,0.908429341317365
14,"low",TRUE,TRUE,0.033,0.46,0.05,NA,NA,0,0,0.089473253493014,0.910526746506986
19,"low",TRUE,TRUE,0.033,0.56,0.05,NA,NA,0,0,0.0917225548902196,0.90827744510978
10,"low",TRUE,TRUE,0.033,0.38,0.05,NA,NA,0,0,0.0911780439121757,0.908821956087824
17,"low",TRUE,TRUE,0.033,0.52,0.05,NA,NA,0,0,0.0892305389221557,0.910769461077844
21,"low",TRUE,TRUE,0.033,0.6,0.05,NA,NA,0,0,0.0919073852295409,0.908092614770459
13,"low",TRUE,TRUE,0.033,0.44,0.05,NA,NA,0,0,0.0905197604790419,0.909480239520958
5,"low",TRUE,TRUE,0.033,0.28,0.05,NA,NA,0,0,0.0913345309381238,0.908665469061876
15,"low",TRUE,TRUE,0.033,0.48,0.05,NA,NA,0,0,0.0905832335329341,0.909416766467066
9,"low",TRUE,TRUE,0.033,0.36,0.05,NA,NA,0,0,0.0906560878243513,0.909343912175649
1,"low",TRUE,TRUE,0.033,0.2,0.05,NA,NA,0,0,0.0931568862275449,0.906843113772455
7,"low",TRUE,TRUE,0.033,0.32,0.05,NA,NA,0,0,0.0916437125748503,0.90835628742515
24,"low",TRUE,TRUE,0.033,0.66,0.05,NA,NA,0,0,0.091011377245509,0.908988622754491
30,"low",TRUE,TRUE,0.033,0.78,0.05,NA,NA,0,0,0.0910101796407186,0.908989820359281
25,"low",TRUE,TRUE,0.033,0.68,0.05,NA,NA,0,0,0.0910726546906188,0.908927345309381
26,"low",TRUE,TRUE,0.033,0.7,0.05,NA,NA,0,0,0.0914830339321357,0.908516966067864
28,"low",TRUE,TRUE,0.033,0.74,0.05,NA,NA,0,0,0.0927998003992016,0.907200199600798
29,"low",TRUE,TRUE,0.033,0.76,0.05,NA,NA,0,0,0.0919447105788423,0.908055289421158
27,"low",TRUE,TRUE,0.033,0.72,0.05,NA,NA,0,0,0.0901614770459082,0.909838522954092
33,"low",TRUE,TRUE,0.033,0.84,0.05,NA,NA,0,0,0.092559880239521,0.907440119760479
32,"low",TRUE,TRUE,0.033,0.82,0.05,NA,NA,0,0,0.0911313373253493,0.908868662674651
35,"low",TRUE,TRUE,0.033,0.88,0.05,NA,NA,0,0,0.093889620758483,0.906110379241517
31,"low",TRUE,TRUE,0.033,0.8,0.05,NA,NA,0,0,0.0915528942115768,0.908447105788423
36,"low",TRUE,TRUE,0.033,0.9,0.05,NA,NA,0,0,0.0894860279441118,0.910513972055888
37,"low",TRUE,TRUE,0.033,0.92,0.05,NA,NA,0,0,0.0900724550898204,0.90992754491018
34,"low",TRUE,TRUE,0.033,0.86,0.05,NA,NA,0,0,0.0892219560878244,0.910778043912176
38,"low",TRUE,TRUE,0.033,0.94,0.05,NA,NA,0,0,0.092262874251497,0.907737125748503
39,"low",TRUE,TRUE,0.033,0.96,0.05,NA,NA,0,0,0.0917926147704591,0.908207385229541
40,"low",TRUE,TRUE,0.033,0.98,0.05,NA,NA,0,0,0.0900650698602794,0.909934930139721
41,"low",TRUE,TRUE,0.033,1,0.05,NA,NA,0,0,0.0924534930139721,0.907546506986028
43,"low",TRUE,TRUE,0.099,0.22,0.05,NA,NA,0,0,0.0933592814371258,0.906640718562874
42,"low",TRUE,TRUE,0.099,0.2,0.05,NA,NA,0,0,0.0931263473053892,0.906873652694611
45,"low",TRUE,TRUE,0.099,0.26,0.05,NA,NA,0,0,0.0892616766467066,0.910738323353293
46,"low",TRUE,TRUE,0.099,0.28,0.05,NA,NA,0,0,0.0891952095808383,0.910804790419162
44,"low",TRUE,TRUE,0.099,0.24,0.05,NA,NA,0,0,0.0894826347305389,0.910517365269461
48,"low",TRUE,TRUE,0.099,0.32,0.05,NA,NA,0,0,0.0923748502994012,0.907625149700599
47,"low",TRUE,TRUE,0.099,0.3,0.05,NA,NA,0,0,0.0911678642714571,0.908832135728543
70,"low",TRUE,TRUE,0.099,0.76,0.05,NA,NA,0,0,0.0912562874251497,0.90874371257485
49,"low",TRUE,TRUE,0.099,0.34,0.05,NA,NA,0,0,0.0907728542914172,0.909227145708583
50,"low",TRUE,TRUE,0.099,0.36,0.05,NA,NA,0,0,0.0915916167664671,0.908408383233533
51,"low",TRUE,TRUE,0.099,0.38,0.05,NA,NA,0,0,0.0908175648702595,0.909182435129741
52,"low",TRUE,TRUE,0.099,0.4,0.05,NA,NA,0,0,0.091701996007984,0.908298003992016
53,"low",TRUE,TRUE,0.099,0.42,0.05,NA,NA,0,0,0.0926720558882236,0.907327944111776
54,"low",TRUE,TRUE,0.099,0.44,0.05,NA,NA,0,0,0.0892534930139721,0.910746506986028
55,"low",TRUE,TRUE,0.099,0.46,0.05,NA,NA,0,0,0.0900820359281437,0.909917964071856
56,"low",TRUE,TRUE,0.099,0.48,0.05,NA,NA,0,0,0.0903101796407186,0.909689820359281
58,"low",TRUE,TRUE,0.099,0.52,0.05,NA,NA,0,0,0.090413373253493,0.909586626746507
59,"low",TRUE,TRUE,0.099,0.54,0.05,NA,NA,0,0,0.0919702594810379,0.908029740518962
57,"low",TRUE,TRUE,0.099,0.5,0.05,NA,NA,0,0,0.0907666666666667,0.909233333333333
60,"low",TRUE,TRUE,0.099,0.56,0.05,NA,NA,0,0,0.0923449101796407,0.907655089820359
61,"low",TRUE,TRUE,0.099,0.58,0.05,NA,NA,0,0,0.0906688622754491,0.909331137724551
63,"low",TRUE,TRUE,0.099,0.62,0.05,NA,NA,0,0,0.0913303393213573,0.908669660678643
62,"low",TRUE,TRUE,0.099,0.6,0.05,NA,NA,0,0,0.0917794411177645,0.908220558882236
64,"low",TRUE,TRUE,0.099,0.64,0.05,NA,NA,0,0,0.092211377245509,0.907788622754491
65,"low",TRUE,TRUE,0.099,0.66,0.05,NA,NA,0,0,0.0909271457085828,0.909072854291417
66,"low",TRUE,TRUE,0.099,0.68,0.05,NA,NA,0,0,0.0925469061876247,0.907453093812375
67,"low",TRUE,TRUE,0.099,0.7,0.05,NA,NA,0,0,0.0921279441117765,0.907872055888224
68,"low",TRUE,TRUE,0.099,0.72,0.05,NA,NA,0,0,0.089972255489022,0.910027744510978
69,"low",TRUE,TRUE,0.099,0.74,0.05,NA,NA,0,0,0.0916357285429142,0.908364271457086
71,"low",TRUE,TRUE,0.099,0.78,0.05,NA,NA,0,0,0.0918005988023952,0.908199401197605
72,"low",TRUE,TRUE,0.099,0.8,0.05,NA,NA,0,0,0.0921622754491018,0.907837724550898
73,"low",TRUE,TRUE,0.099,0.82,0.05,NA,NA,0,0,0.0904572854291417,0.909542714570858
74,"low",TRUE,TRUE,0.099,0.84,0.05,NA,NA,0,0,0.0889780439121756,0.911021956087824
77,"low",TRUE,TRUE,0.099,0.9,0.05,NA,NA,0,0,0.0904956087824351,0.909504391217565
75,"low",TRUE,TRUE,0.099,0.86,0.05,NA,NA,0,0,0.0915137724550898,0.90848622754491
78,"low",TRUE,TRUE,0.099,0.92,0.05,NA,NA,0,0,0.0931263473053892,0.906873652694611
79,"low",TRUE,TRUE,0.099,0.94,0.05,NA,NA,0,0,0.0914285429141717,0.908571457085828
80,"low",TRUE,TRUE,0.099,0.96,0.05,NA,NA,0,0,0.0902241516966068,0.909775848303393
76,"low",TRUE,TRUE,0.099,0.88,0.05,NA,NA,0,0,0.0919435129740519,0.908056487025948
81,"low",TRUE,TRUE,0.099,0.98,0.05,NA,NA,0,0,0.0920992015968064,0.907900798403194
82,"low",TRUE,TRUE,0.099,1,0.05,NA,NA,0,0,0.091889620758483,0.908110379241517
83,"low",TRUE,TRUE,0.165,0.2,0.05,NA,NA,0,0,0.0907491017964072,0.909250898203593
85,"low",TRUE,TRUE,0.165,0.24,0.05,NA,NA,0,0,0.0895443113772455,0.910455688622754
84,"low",TRUE,TRUE,0.165,0.22,0.05,NA,NA,0,0,0.0924325349301397,0.90756746506986
86,"low",TRUE,TRUE,0.165,0.26,0.05,NA,NA,0,0,0.0915141716566866,0.908485828343313
87,"low",TRUE,TRUE,0.165,0.28,0.05,NA,NA,0,0,0.0919317365269461,0.908068263473054
88,"low",TRUE,TRUE,0.165,0.3,0.05,NA,NA,0,0,0.091775249500998,0.908224750499002
89,"low",TRUE,TRUE,0.165,0.32,0.05,NA,NA,0,0,0.0901481037924152,0.909851896207585
90,"low",TRUE,TRUE,0.165,0.34,0.05,NA,NA,0,0,0.0901125748502994,0.909887425149701
91,"low",TRUE,TRUE,0.165,0.36,0.05,NA,NA,0,0,0.0908756487025948,0.909124351297405
92,"low",TRUE,TRUE,0.165,0.38,0.05,NA,NA,0,0,0.092640119760479,0.907359880239521
93,"low",TRUE,TRUE,0.165,0.4,0.05,NA,NA,0,0,0.0894724550898204,0.91052754491018
95,"low",TRUE,TRUE,0.165,0.44,0.05,NA,NA,0,0,0.0898960079840319,0.910103992015968
94,"low",TRUE,TRUE,0.165,0.42,0.05,NA,NA,0,0,0.0902558882235529,0.909744111776447
117,"low",TRUE,TRUE,0.165,0.88,0.05,NA,NA,0,0,0.0910626746506986,0.908937325349301
96,"low",TRUE,TRUE,0.165,0.46,0.05,NA,NA,0,0,0.09122375249501,0.90877624750499
98,"low",TRUE,TRUE,0.165,0.5,0.05,NA,NA,0,0,0.088913373253493,0.911086626746507
97,"low",TRUE,TRUE,0.165,0.48,0.05,NA,NA,0,0,0.0920225548902196,0.90797744510978
101,"low",TRUE,TRUE,0.165,0.56,0.05,NA,NA,0,0,0.0885506986027944,0.911449301397206
