"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
22,0.25,FALSE,FALSE,0,0.725,0.05,0.05,0.05,0.893750299401198,0.0132,0.897144462898644,0.093962874251497,0.0122868263473054
20,0.25,FALSE,FALSE,0,0.675,0.05,0.05,0.05,0.882826546906188,0.0128,0.887038983262816,0.103234930139721,0.0139385229540918
18,0.25,FALSE,FALSE,0,0.625,0.05,0.05,0.05,0.870078642714571,0.0231,0.875375306684567,0.11437245508982,0.0155489021956088
19,0.25,FALSE,FALSE,0,0.65,0.05,0.05,0.05,0.877976646706587,0.0111,0.882668254733028,0.107422754491018,0.0146005988023952
23,0.25,FALSE,FALSE,0,0.75,0.05,0.05,0.05,0.897267265469062,0.0092,0.900478851186004,0.0910724550898204,0.0116602794411178
15,0.25,FALSE,FALSE,0,0.55,0.05,0.05,0.05,0.845095209580838,0.0124,0.852413218985636,0.135552894211577,0.0193518962075848
17,0.25,FALSE,FALSE,0,0.6,0.05,0.05,0.05,0.86270499001996,0.0051,0.868414980053863,0.120554291417166,0.0167407185628743
21,0.25,FALSE,FALSE,0,0.7,0.05,0.05,0.05,0.889104590818363,0.0104,0.892750809490444,0.0980588822355289,0.0128365269461078
11,0.25,FALSE,FALSE,0,0.45,0.05,0.05,0.05,0.790114770459082,0.0202,0.80412040890945,0.180706586826347,0.0291786427145709
16,0.25,FALSE,FALSE,0,0.575,0.05,0.05,0.05,0.852433333333333,0.0194,0.859687157005636,0.128909780439122,0.0186568862275449
13,0.25,FALSE,FALSE,0,0.5,0.05,0.05,0.05,0.821387225548902,0.0134,0.830698149780228,0.155275848303393,0.0233369261477046
14,0.25,FALSE,FALSE,0,0.525,0.05,0.05,0.05,0.833806387225549,0.0071,0.842853302657705,0.145118562874251,0.0210750499001996
12,0.25,FALSE,FALSE,0,0.475,0.05,0.05,0.05,0.806278443113773,0.0036,0.81776111937288,0.167681437125749,0.026040119760479
24,0.25,FALSE,FALSE,0,0.775,0.05,0.05,0.05,0.903384830339321,0.0062,0.906077177806352,0.0854850299401198,0.0111301397205589
1,0.25,FALSE,FALSE,0,0.2,0.05,0.05,0.05,0.353057684630738,0.0289,0.503586151061945,0.376871856287425,0.270070459081836
10,0.25,FALSE,FALSE,0,0.425,0.05,0.05,0.05,0.772878842315369,0.0105,0.788729337380654,0.194539321357285,0.0325818363273453
9,0.25,FALSE,FALSE,0,0.4,0.05,0.05,0.05,0.751091616766467,0.0038,0.770642904186002,0.211144311377246,0.0377640718562874
37,0.25,FALSE,FALSE,0.025,0.275,0.05,NA,NA,0,0.0142,0,0.0894538922155689,0.910546107784431
8,0.25,FALSE,FALSE,0,0.375,0.05,0.05,0.05,0.727806387225549,0.0079,0.750695371895057,0.230262874251497,0.0419307385229541
34,0.25,FALSE,FALSE,0.025,0.2,0.05,NA,NA,0,0.0065,0,0.0876109780439122,0.912389021956088
35,0.25,FALSE,FALSE,0.025,0.225,0.05,NA,NA,0,0.0097,0,0.0894636726546906,0.910536327345309
36,0.25,FALSE,FALSE,0.025,0.25,0.05,NA,NA,0,0.0116,0,0.0912826347305389,0.908717365269461
7,0.25,FALSE,FALSE,0,0.35,0.05,0.05,0.05,0.692506986027944,0.003,0.72376021298884,0.254827944111776,0.0526650698602794
38,0.25,FALSE,FALSE,0.025,0.3,0.05,0.1,0.103495069863514,0.0191145708582834,0.0207,0.481492688694665,0.113987025948104,0.866898403193613
2,0.25,FALSE,FALSE,0,0.225,0.05,0.05,0.05,0.430180638722555,0.0145,0.546660730016499,0.377640119760479,0.192179241516966
25,0.25,FALSE,FALSE,0,0.8,0.05,0.05,0.05,0.906817764471058,0.008,0.909268196586582,0.0825810379241517,0.0106011976047904
29,0.25,FALSE,FALSE,0,0.9,0.05,0.05,0.05,0.919731736526946,0.005,0.921532595687362,0.07132375249501,0.00894451097804391
32,0.25,FALSE,FALSE,0,0.975,0.05,0.05,0.05,0.928013373253493,0.0055,0.929532412278158,0.063986626746507,0.008
26,0.25,FALSE,FALSE,0,0.825,0.05,0.05,0.05,0.910591816367265,0.0067,0.912933561148293,0.0794918163672655,0.00991636726546906
30,0.25,FALSE,FALSE,0,0.925,0.05,0.05,0.05,0.92264371257485,0.0085,0.924370404525744,0.0688660678642715,0.00849021956087824
27,0.25,FALSE,FALSE,0,0.85,0.05,0.05,0.05,0.913277245508982,0.0146,0.915540759097577,0.0767105788423154,0.0100121756487026
28,0.25,FALSE,FALSE,0,0.875,0.05,0.05,0.05,0.915683832335329,0.0104,0.917871664489819,0.0747463073852295,0.00956986027944112
31,0.25,FALSE,FALSE,0,0.95,0.05,0.05,0.05,0.925638323353293,0.0084,0.927186786402432,0.0663548902195609,0.00800678642714571
39,0.25,FALSE,FALSE,0.025,0.325,0.05,0.1,0.104730996471184,0.179349900199601,0.0151,0.511747218743641,0.273242115768463,0.547407984031936
33,0.25,FALSE,FALSE,0,1,0.05,0.05,0.05,0.929436726546906,0.0205,0.930856216321699,0.0626626746506986,0.00790059880239521
40,0.25,FALSE,FALSE,0.025,0.35,0.05,0.1,0.105820834835562,0.278116766467066,0.0103,0.541989220617599,0.330769061876247,0.391114171656687
6,0.25,FALSE,FALSE,0,0.325,0.05,0.05,0.05,0.658990618762475,0.0089,0.69752952164021,0.278276846307385,0.0627325349301397
41,0.25,FALSE,FALSE,0.025,0.375,0.05,0.1,0.107012947282576,0.349180439121757,0.0038,0.567633116739833,0.354744111776447,0.296075449101796
58,0.25,FALSE,FALSE,0.025,0.8,0.05,0.1,0.144536272786153,0.774592415169661,0.0148,0.821077351660347,0.187333333333333,0.038074251497006
