"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
1341,0.3,FALSE,FALSE,0,0.7,0.05,0.05,0.05,0.887857884231537,0.2398,0.891604575243083,0.0988161676646707,0.0133259481037924
1343,0.3,FALSE,FALSE,0,0.75,0.05,0.05,0.05,0.898511576846307,0.2497,0.901642617556161,0.0899838323353293,0.0115045908183633
1337,0.3,FALSE,FALSE,0,0.6,0.05,0.05,0.05,0.861894211576846,0.2575,0.867766703250389,0.121571856287425,0.0165339321357285
1340,0.3,FALSE,FALSE,0,0.675,0.05,0.05,0.05,0.883906586826347,0.2585,0.888048540764747,0.102421756487026,0.0136716566866267
1342,0.3,FALSE,FALSE,0,0.725,0.05,0.05,0.05,0.893943912175649,0.2479,0.897327451069238,0.0934041916167665,0.0126518962075848
1335,0.3,FALSE,FALSE,0,0.55,0.05,0.05,0.05,0.843506786427146,0.2541,0.851014256281531,0.137130538922156,0.0193626746506986
1333,0.3,FALSE,FALSE,0,0.5,0.05,0.05,0.05,0.818575648702595,0.2519,0.828803495896214,0.157255688622754,0.0241686626746507
1339,0.3,FALSE,FALSE,0,0.65,0.05,0.05,0.05,0.877535728542914,0.244,0.881884801257777,0.107733532934132,0.0147307385229541
1338,0.3,FALSE,FALSE,0,0.625,0.05,0.05,0.05,0.868304391217565,0.2441,0.873537966097557,0.115570459081836,0.0161251497005988
1332,0.3,FALSE,FALSE,0,0.475,0.05,0.05,0.05,0.807892415169661,0.2451,0.819068055713522,0.166292415169661,0.0258151696606786
1334,0.3,FALSE,FALSE,0,0.525,0.05,0.05,0.05,0.835294810379241,0.2493,0.843693837645946,0.144049900199601,0.0206552894211577
1336,0.3,FALSE,FALSE,0,0.575,0.05,0.05,0.05,0.8538249500998,0.2465,0.860331808124122,0.128460479041916,0.0177145708582834
1331,0.3,FALSE,FALSE,0,0.45,0.05,0.05,0.05,0.788882834331337,0.2445,0.803311415261923,0.181897005988024,0.0292201596806387
1321,0.3,FALSE,FALSE,0,0.2,0.05,0.05,0.05,0.347028942115768,0.2433,0.500738309719577,0.374343512974052,0.27862754491018
1330,0.3,FALSE,FALSE,0,0.425,0.05,0.05,0.05,0.771955888223553,0.2313,0.788921608036514,0.194817964071856,0.0332261477045908
1329,0.3,FALSE,FALSE,0,0.4,0.05,0.05,0.05,0.750656487025948,0.2566,0.770235900851025,0.212185828343313,0.0371576846307385
1354,0.3,FALSE,FALSE,0.025,0.2,0.05,NA,NA,0,0.2373,0,0.0921121756487026,0.907887824351297
1356,0.3,FALSE,FALSE,0.025,0.25,0.05,NA,NA,0,0.2454,0,0.0905510978043912,0.909448902195609
1355,0.3,FALSE,FALSE,0.025,0.225,0.05,NA,NA,0,0.2345,0,0.0918359281437126,0.908164071856287
1328,0.3,FALSE,FALSE,0,0.375,0.05,0.05,0.05,0.725436327345309,0.2463,0.749971313724424,0.23150119760479,0.0430624750499002
1344,0.3,FALSE,FALSE,0,0.775,0.05,0.05,0.05,0.902886427145709,0.2495,0.90566135986523,0.0860181636726547,0.0110954091816367
1322,0.3,FALSE,FALSE,0,0.225,0.05,0.05,0.05,0.440761676646707,0.2401,0.550127460261427,0.376843313373253,0.18239500998004
1347,0.3,FALSE,FALSE,0,0.85,0.05,0.05,0.05,0.913956487025948,0.251,0.916218012715887,0.0764139720558882,0.00962954091816367
1357,0.3,FALSE,FALSE,0.025,0.275,0.05,0.1,0.1,0.000250299401197605,0.2462,0.139741944682064,0.0918403193612774,0.907909381237525
1327,0.3,FALSE,FALSE,0,0.35,0.05,0.05,0.05,0.692103592814371,0.2459,0.722971985517832,0.255781836327345,0.0521145708582834
1358,0.3,FALSE,FALSE,0.025,0.3,0.05,0.1,0.103998875694352,0.0481946107784431,0.2526,0.482080175715042,0.150061077844311,0.801744311377246
1346,0.3,FALSE,FALSE,0,0.825,0.05,0.05,0.05,0.909478642714571,0.2346,0.911984243786143,0.0802251497005988,0.0102962075848303
1349,0.3,FALSE,FALSE,0,0.9,0.05,0.05,0.05,0.919906586826347,0.2366,0.92177814243458,0.0712540918163673,0.00883932135728543
1350,0.3,FALSE,FALSE,0,0.925,0.05,0.05,0.05,0.921859481037924,0.2387,0.923587982203673,0.0694245508982036,0.00871596806387226
1348,0.3,FALSE,FALSE,0,0.875,0.05,0.05,0.05,0.916813572854291,0.2452,0.918938254354956,0.0738221556886228,0.00936427145708583
1353,0.3,FALSE,FALSE,0,1,0.05,0.05,0.05,0.929887624750499,0.236,0.931331914675727,0.0625489021956088,0.00756347305389222
1345,0.3,FALSE,FALSE,0,0.8,0.05,0.05,0.05,0.906118562874252,0.2532,0.908675181387677,0.0832994011976048,0.0105820359281437
1352,0.3,FALSE,FALSE,0,0.975,0.05,0.05,0.05,0.927888023952096,0.2607,0.9294803718142,0.064413373253493,0.00769860279441118
1351,0.3,FALSE,FALSE,0,0.95,0.05,0.05,0.05,0.92505369261477,0.2398,0.926631435699815,0.066822754491018,0.00812355289421158
1359,0.3,FALSE,FALSE,0.025,0.325,0.05,0.1,0.104498283003777,0.184778443113772,0.2541,0.508316972873231,0.280609181636727,0.534612375249501
1326,0.3,FALSE,FALSE,0,0.325,0.05,0.05,0.05,0.660908383233533,0.2517,0.697335732430388,0.277651497005988,0.061440119760479
1360,0.3,FALSE,FALSE,0.025,0.35,0.05,0.1,0.105998028696855,0.28108003992016,0.2543,0.545469823785214,0.332116766467066,0.386803193612774
1325,0.3,FALSE,FALSE,0,0.3,0.05,0.05,0.05,0.616209381237525,0.2712,0.664913554263048,0.304589421157685,0.0792011976047904
1361,0.3,FALSE,FALSE,0.025,0.375,0.05,0.1,0.107274748967192,0.355068063872255,0.2659,0.572900988163675,0.358622754491018,0.286309181636727
1376,0.3,FALSE,FALSE,0.025,0.75,0.05,0.1,0.139745800042012,0.75733253493014,0.2526,0.80764718062593,0.200798403193613,0.0418690618762475
1374,0.3,FALSE,FALSE,0.025,0.7,0.05,0.1,0.134068444575597,0.729900199600798,0.2568,0.788960440201853,0.219965269461078,0.0501345309381238
1375,0.3,FALSE,FALSE,0.025,0.725,0.05,0.1,0.137399935977412,0.745495608782435,0.2433,0.800137854741756,0.208795808383234,0.0457085828343313
1377,0.3,FALSE,FALSE,0.025,0.775,0.05,0.1,0.142083413613197,0.765049700598802,0.2408,0.81434438606756,0.19475129740519,0.040199001996008
1373,0.3,FALSE,FALSE,0.025,0.675,0.05,0.1,0.132039748240078,0.721353093812375,0.2537,0.781573103601955,0.227778243512974,0.0508686626746507
1323,0.3,FALSE,FALSE,0,0.25,0.05,0.05,0.05,0.503414570858283,0.2375,0.589025132511293,0.359486027944112,0.137099401197605
1372,0.3,FALSE,FALSE,0.025,0.65,0.05,0.1,0.12917049996088,0.704802594810379,0.2415,0.769617643838154,0.238143313373253,0.0570540918163673
1362,0.3,FALSE,FALSE,0.025,0.4,0.05,0.1,0.108599103936054,0.418267864271457,0.2621,0.600385085258817,0.358054890219561,0.223677245508982
1378,0.3,FALSE,FALSE,0.025,0.8,0.05,0.1,0.144968603718257,0.775333133732535,0.2548,0.82182659660989,0.186544710578842,0.0381221556886228
1371,0.3,FALSE,FALSE,0.025,0.625,0.05,0.1,0.127094191391405,0.689314770459082,0.239,0.759939072922126,0.24873253493014,0.0619526946107784
1379,0.3,FALSE,FALSE,0.025,0.825,0.05,0.1,0.147800644605523,0.783580638722555,0.2427,0.828294101699931,0.179826546906188,0.0365928143712575
